Ano;Ingressos;Saidas;Reposicao
2012;23787;22589;1,053034662889017
2013;31120;23831;1,305862112374638
2014;39929;24917;1,602480234378135
2015;21810;23139;0,942564501490989
2016;20818;20844;0,998752638649012
2017;18462;27244;0,677653795331082
2018;13416;23095;0,580904957783070
2019;13446;42060;0,319686162624822
2020;6532;17069;0,382682055187767
2021;5070;14318;0,354099734599804
2022;12618;17703;0,712760549059481
2023;10408;15845;0,656863363837173
2024;12200;13859;0,880294393534887
2025;1659;1874;0,885272145144077
